# Generated by tools/deep-check.mjs - do not edit.
# engine: lila-stockfish-web 0.0.11 sf16-7 (Stockfish 16, small NNUE net nn-ecb35f70ff2a, sha256 ecb35f70ff2aa4492caec6b552a1628e24319fbe1cc2aaf95eaebabdd92a1e37)
# settings: Threads 1, Hash 64 MB, ucinewgame before each position, MultiPV 5, go depth 28; drilled moves outside the top five searched with searchmoves
# baseline: src/data/evals.js (depth 20, same engine and settings); scores side-to-move centipawns, #n = mate in n
# selection: 128 of 364 drilled positions (narrow = one move within 30 cp of best; demanding = setupGate "demanding"; tactical = best is mate, capture or check)
# only_move: narrow claim 44 hold, 10 fail; demanding: 58 hold, 10 fail; drilled-move accept/reject changed at depth: 9
key	lines	flags	d20_best	d20_second	d20_gap	d20_ways	d28_best	d28_second	d28_gap	d28_ways	only_move	demanding	drilled	drilled_d20	drilled_d28	reached_depth
rnbqkb1r/pp2pppp/5n2/2pp4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 1	kolt:6 ohanlon:6 syn-e5colle:6	demanding	c4 14	Be2 8	6	5	c4 12	Be2 8	4	5	n/a	holds	c3	equal	equal	28
r1b1r1k1/ppq2ppp/2n1pn2/2bp4/4P3/2PB1N2/PP1NQPPP/R1B2RK1 w - - 0 1	kolt:20	narrow,demanding	e5 80	a4 11	69	1	e5 72	a4 24	48	1	holds	holds	e5	best	best	28
r1b1r1k1/ppqn1ppp/2n1p3/2bpP3/8/2PB1N2/PP1NQPPP/R1B2RK1 w - - 0 1	kolt:22	demanding	Nb3 73	Re1 72	1	3	Nb3 73	b4 56	17	3	n/a	holds	Nb3	best	best	28
r1b1r1k1/ppqn1ppp/1bn1p3/3pP3/8/1NPB1N2/PP2QPPP/R1B2RK1 w - - 0 1	kolt:24	narrow,demanding	Bf4 77	Re1 32	45	1	Bf4 71	Re1 45	26	2	fails	holds	Bf4	best	best	28
r1bqk2r/pp1n1ppp/3bpn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQK2R w KQkq - 0 1	ohanlon:12 syn-e5colle:12	demanding	O-O 12	c4 -7	19	4	O-O 0	c4 -8	8	5	n/a	holds	O-O	best	best	28
r1bq1rk1/pp1n1ppp/3bpn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQ1RK1 w - - 0 1	ohanlon:14 syn-e5colle:14	demanding	Re1 4	e4 -4	8	5	Re1 2	h3 -6	8	5	n/a	holds	Re1	best	best	28
r1bqr1k1/pp1n1ppp/3bpn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQR1K1 w - - 0 1	ohanlon:16	narrow,demanding	e4 30	c4 -9	39	1	e4 29	b3 -7	36	1	holds	holds	e4	best	best	28
r1bqr1k1/pp1n1ppp/3bpn2/2p5/3Pp3/2PB1N2/PP1N1PPP/R1BQR1K1 w - - 0 1	ohanlon:18	narrow,demanding,tactical	Nxe4 42	Bxe4 -18	60	1	Nxe4 39	Bxe4 -8	47	1	holds	holds	Nxe4	best	best	28
r1bqr1k1/pp1n1ppp/3bp3/2p5/3Pn3/2PB1N2/PP3PPP/R1BQR1K1 w - - 0 1	ohanlon:20	demanding,tactical	Rxe4 30	Bxe4 20	10	2	Rxe4 40	Bxe4 29	11	2	n/a	holds	Bxe4	equal	equal	28
r1bqr1k1/pp1n1ppp/3bp3/8/3pB3/2P2N2/PP3PPP/R1BQR1K1 w - - 0 1	ohanlon:22	demanding	Bc2 41	Qxd4 38	3	4	Qxd4 41	Bc2 41	0	2	n/a	holds	Bxh7+	concession	concession	28
r1bqr3/pp1n1ppk/3bp3/8/3p4/2P2N2/PP3PPP/R1BQR1K1 w - - 0 1	ohanlon:24	narrow,demanding,tactical	Ng5+ 0	Re4 -267	267	1	Ng5+ 0	Bg5 -295	295	1	holds	holds	Ng5+	best	best	28
r1bqr3/pp1n1pp1/3bp1k1/6N1/3p4/2P5/PP3PPP/R1BQR1K1 w - - 0 1	ohanlon:26	narrow,demanding	h4 312	g4 50	262	1	h4 410	g4 78	332	1	holds	holds	h4	best	best	28
r1bq3r/pp1n1pp1/3bp1k1/6N1/3p3P/2P5/PP3PP1/R1BQR1K1 w - - 0 1	ohanlon:28	demanding,tactical	h5+ 575	Rxe6+ 559	16	2	Rxe6+ 1037	h5+ 729	308	1	n/a	holds	Rxe6+	equal	best	28
r1bq3r/pp3pp1/3bRnk1/6N1/3p3P/2P5/PP3PP1/R1BQ2K1 w - - 0 1	ohanlon:30	demanding,tactical	h5+ 587	Qd3+ 580	7	2	h5+ 4418	Qd3+ 618	3800	1	n/a	holds	h5+	best	best	28
r1bq3r/pp3pp1/3bRn1k/6NP/3p4/2P5/PP3PP1/R1BQ2K1 w - - 0 1	ohanlon:32	narrow,demanding	Qd3 943	Qg4 905	38	1	Qd3 #21	Qg4 1405	mate	1	holds	holds	Rxd6	inferior	inferior	28
r1b4r/pp3pp1/3R1n1k/q5NP/3p4/2P5/PP3PP1/R1BQ2K1 w - - 0 1	ohanlon:34	narrow,demanding	Qf3 729	Nxf7+ 695	34	1	Qf3 902	Nxf7+ 893	9	2	fails	holds	Nxf7+	concession	equal	28
r1b4r/pp3Npk/3R1n2/q6P/3p4/2P5/PP3PP1/R1BQ2K1 w - - 0 1	ohanlon:36	narrow,demanding,tactical	Ng5+ 692	Nxh8 537	155	1	Ng5+ 845	Qd3+ 659	186	1	holds	holds	Ng5+	best	best	28
r1b3kr/pp4p1/3R1n2/q5NP/3p4/2P5/PP3PP1/R1BQ2K1 w - - 0 1	ohanlon:38	narrow,demanding,tactical	Qb3+ #6	b4 683	mate	1	Qb3+ #6	b4 975	mate	1	holds	holds	Qb3+	best	best	28
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1	def-ohanlon:1 def-kolt:1 hip-g16:1 …	demanding	d5 -24	Nf6 -28	4	5	d5 -17	Nf6 -20	3	5	n/a	holds	d5 g6 e6	best equal equal	best concession equal	28
r1bqr1k1/pp1n1ppp/3bpn2/2p5/3PN3/2PB1N2/PP3PPP/R1BQR1K1 b - - 0 1	def-ohanlon:19	tactical	Nxe4 -32	Bf8 -58	26	2	Nxe4 -46	Be7 -67	21	3	n/a	n/a	Nxe4	best	best	28
r1bqr1k1/pp1n1ppB/3bp3/8/3p4/2P2N2/PP3PPP/R1BQR1K1 b - - 0 1	def-ohanlon:23	narrow,tactical	Kxh7 1	Kf8 -269	270	1	Kxh7 9	Kf8 -289	298	1	holds	n/a	Kxh7	best	best	28
r1bqr3/pp1n1ppk/3bp3/6N1/3p4/2P5/PP3PPP/R1BQR1K1 b - - 0 1	def-ohanlon:25	narrow	Kg8 0	Kg6 -307	307	1	Kg8 -4	Kg6 -380	376	1	holds	n/a	Kg8	best	best	28
r1bqr1k1/pp1n1pp1/3bp3/6NQ/3p4/2P5/PP3PPP/R1B1R1K1 b - - 0 1	def-ohanlon:27	narrow	Qf6 0	Bxh2+ -123	123	1	Qf6 0	Ne5 -140	140	1	holds	n/a	Qf6	best	best	28
r1b1r1k1/pp1n1ppQ/3bpq2/6N1/3p4/2P5/PP3PPP/R1B1R1K1 b - - 0 1	def-ohanlon:29	narrow	Kf8 0			1	Kf8 0			1	holds	n/a	Kf8	best	best	28
r1b1rk2/pp1n1ppQ/3bpq2/8/3pN3/2P5/PP3PPP/R1B1R1K1 b - - 0 1	def-ohanlon:31	narrow	Qe5 0	Qg6 -73	73	1	Qe5 0	Qg6 -77	77	1	holds	n/a	Qe5	best	best	28
r1b1rk2/pp1n1ppQ/3bp3/4q3/3pNP2/2P5/PP4PP/R1B1R1K1 b - - 0 1	def-ohanlon:33	narrow	Qd5 5	Nf6 -215	220	1	Qd5 0	Nf6 -211	211	1	holds	n/a	Qd5	best	best	28
r1b1rk2/pp1n1ppQ/3bp3/3q4/2PpNP2/8/PP4PP/R1B1R1K1 b - - 0 1	def-ohanlon:35	narrow	Qc6 12	Qa5 -52	64	1	Qc6 0	Qa5 -57	57	1	holds	n/a	Qc6	best	best	28
r1bq1rk1/pp3ppp/2nbpn2/2Pp4/8/2PBPN2/PP1N1PPP/R1BQ1RK1 b - - 0 1	def-kolt:15	narrow,tactical	Bxc5 -6	Be7 -68	62	1	Bxc5 0	Be7 -54	54	1	holds	n/a	Bxc5	best	best	28
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P4/1P1BPN2/PBP2PPP/RN1QK2R w KQkq - 0 1	cz:12 cz-tab:12 rudel:12 …	demanding	O-O 23	Nbd2 21	2	5	dxc5 24	Nbd2 7	17	5	n/a	holds	O-O	best	equal	28
r1bq1rk1/pp3ppp/2nbpn2/2pp4/3P4/1P1BPN2/PBP2PPP/RN1Q1RK1 w - - 0 1	cz:14 cz-tab:14 rudel:14 …	demanding,tactical	dxc5 32	Re1 28	4	5	dxc5 24	Re1 6	18	5	n/a	holds	Nbd2 Ne5 a3	equal concession equal	equal equal equal	28
r1bq1rk1/p4ppp/1pnbpn2/2pp4/3P4/1P1BPN2/PBPN1PPP/R2Q1RK1 w - - 0 1	cz:16 cz-tab:16	demanding	Re1 17	a3 17	0	5	dxc5 16	a3 3	13	5	n/a	holds	Ne5 a3	equal best	equal equal	28
r2q1rk1/pb3ppp/1pnbpn2/2ppN3/3P4/1P1BP3/PBPN1PPP/R2Q1RK1 w - - 0 1	cz:18	demanding	c4 0	Nxc6 0	0	5	a3 0	Nxc6 0	0	5	n/a	holds	f4	equal	equal	28
r2q1rk1/pb2nppp/1p1bpn2/2ppN3/3P1P2/1P1BP3/PBPN2PP/R2Q1RK1 w - - 0 1	cz:20	demanding	Rf3 -4	Qe2 -8	4	5	Rf3 10	Qf3 0	10	5	n/a	holds	Rf3	best	best	28
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 1	anti:2 cz-tab:2 colle-kid:2 …	demanding	c4 32	Nf3 24	8	5	c4 32	Nf3 26	6	4	n/a	holds	Nf3	equal	equal	28
rn2kb1r/pp2pppp/1qp2n2/3p1b2/2PP4/1Q2PN2/PP3PPP/RNB1KB1R w KQkq - 0 1	anti:10	tactical	cxd5 7	Nc3 3	4	5	cxd5 17	Ne5 3	14	5	n/a	n/a	c5	concession	equal	28
r3kb1r/ppqn1ppp/2p1pn2/2PpNb2/3P4/1Q1BP3/PP3PPP/RNB1K2R w KQkq - 0 1	anti:16	tactical	Nxd7 -19	Bxf5 -26	7	2	Nxd7 -20	Bxf5 -24	4	2	n/a	n/a	f4	concession	concession	28
r3kb1r/ppqn1ppp/2p1pn2/2PpN3/3P1P2/1Q1bP3/PP4PP/RNB1K2R w KQkq - 0 1	anti:18	tactical	Qxd3 -52	Nxd3 -69	17	3	Qxd3 -51	Nxd7 -64	13	3	n/a	n/a	Qxd3	best	best	28
r2qkb1r/pppnpppp/5n2/3p4/3P4/2PbPN2/PP3PPP/RNBQK2R w KQkq - 0 1	trap:10	narrow,tactical	Qxd3 -17	Ne5 -496	479	1	Qxd3 -6	Ne5 -457	451	1	holds	n/a	Qxd3	best	best	28
r2qkb1r/pp1n1ppp/4pn2/3p4/3p4/2PQPN2/PP1N1PPP/R1B2RK1 w kq - 0 1	trap:16	tactical	exd4 -14	Nxd4 -21	7	4	cxd4 -4	exd4 -11	7	4	n/a	n/a	exd4	best	equal	28
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1	hip-e4:1 hip-e5:1 hip-f4:1 …	demanding	c5 -20	e5 -24	4	5	c6 -22	e5 -25	3	5	n/a	holds	g6 d6	equal equal	equal equal	28
rnbqk1nr/1pp1ppbp/p2p2p1/8/2BPP3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 0 1	hip-e4:9 hip-e5:9	demanding	b5 -33	Nc6 -41	8	5	b5 -36	Nf6 -50	14	5	n/a	holds	e6	equal	equal	28
rnbqk1nr/1pp2pbp/p2pp1p1/8/2BPP3/2N2N2/PPP2PPP/R1BQ1RK1 b kq - 0 1	hip-e4:11 hip-e5:11	demanding	b5 -37	Ne7 -42	5	5	b5 -38	Ne7 -47	9	5	n/a	holds	b6	equal	equal	28
r2qk1nr/1bpn1pbp/pp1pp1p1/6B1/P1BPP3/2N2N2/1PP1QPPP/R4RK1 b kq - 0 1	hip-e4:17	narrow	Ne7 -21	Qc8 -53	32	1	Ne7 -37	Qc8 -56	19	3	fails	n/a	Ne7	best	best	28
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 0 1	hip66:1	demanding	c5 -21	c6 -29	8	5	e6 -14	c6 -27	13	5	n/a	fails	g6	equal	equal	28
rnbqk1nr/ppppppbp/6p1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 1	hip66:5	demanding	Nf6 -28	d6 -44	16	5	Nf6 -36	c5 -47	11	5	n/a	holds	d6	equal	equal	28
rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 1	hip66:7	demanding	e5 -45	Nf6 -49	4	5	Nf6 -43	c5 -46	3	5	n/a	holds	Nd7	equal	equal	28
r1bqk1nr/pppnppbp/3p2p1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 1	hip66:9	demanding	e5 -62	Ngf6 -63	1	5	Ngf6 -62	e5 -62	0	5	n/a	holds	e6	equal	equal	28
r2qk2r/pbpnnpbp/1p1pp1p1/8/2PPP3/2N1BN2/PPQ1BPPP/R4RK1 b kq - 0 1	hip66:17	demanding	O-O -63	h6 -83	20	4	O-O -63	d5 -72	9	4	n/a	holds	h6	equal	equal	28
r2qk2r/pbpnnpb1/1p1pp1pp/8/2PPP3/2N1BN2/PPQ1BPPP/3R1RK1 b kq - 0 1	hip66:19	demanding	O-O -78	a6 -91	13	5	O-O -82	a6 -91	9	5	n/a	holds	O-O	best	best	28
r2q1rk1/pbpnnpb1/1p1pp1pp/3P4/2P1P3/2N1BN2/PPQ1BPPP/3R1RK1 b - - 0 1	hip66:21	demanding	a5 -77	e5 -77	0	5	a5 -85	Qc8 -85	0	5	n/a	holds	e5	best	best	28
r2q1rk1/pbpnnpb1/1p1p2pp/3Pp3/2P1P3/2N1BN2/PP2BPPP/2QR1RK1 b - - 0 1	hip66:23	demanding	Kh7 -84	g5 -104	20	2	Kh7 -74	g5 -110	36	1	n/a	holds	Kh7	best	best	28
r2q1r2/pbpnnpbk/1p1p2pp/3Pp3/2P1P3/2N1BNP1/PP2BP1P/2QR1RK1 b - - 0 1	hip66:25	demanding	f5 -15	a5 -39	24	3	f5 -16	Bc8 -21	5	2	n/a	holds	f5	best	best	28
r2qk1nr/1bpn1pbp/pp1pp1p1/4P3/P1BP4/2N2N2/1PP2PPP/R1BQR1K1 b kq - 0 1	hip-e5:17	demanding	d5 -81	Ne7 -99	18	3	Ne7 -101	d5 -119	18	2	n/a	fails	d5	best	equal	28
r2qk1nr/1bpn1pbp/pp2p1p1/3pP3/P2P4/2NB1N2/1PP2PPP/R1BQR1K1 b kq - 0 1	hip-e5:19	narrow,demanding	c5 -28	Ne7 -130	102	1	c5 -40	h6 -121	81	1	holds	holds	c5	best	best	28
rnbqkb1r/pppp1ppp/4pn2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 1	cz-tab:4 eco-trad:4 syn-qid:4 …	demanding	c4 28	g3 17	11	5	g3 18	c4 15	3	5	n/a	holds	e3	equal	equal	28
rnbqkb1r/pp1p1ppp/4pn2/2p5/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 1	cz-tab:6 eco-trad:6	demanding	c4 21	Be2 10	11	5	c4 19	b3 17	2	5	n/a	holds	Bd3	equal	equal	28
r2q1rk1/pb3ppp/1pnbpn2/2pp4/3P4/PP1BPN2/1BPN1PPP/R2Q1RK1 w - - 0 1	cz-tab:18 syn-qf3:18	demanding,tactical	dxc5 19	Re1 10	9	5	dxc5 5	Re1 0	5	5	n/a	holds	Ne5	equal	equal	28
2rq1rk1/pb3ppp/1pnbpn2/2ppN3/3P4/PP1BP3/1BPN1PPP/R2Q1RK1 w - - 0 1	cz-tab:20 syn-qf3:20	demanding	Qe2 -1	Qf3 -9	8	5	Qe2 0	Re1 -6	6	5	n/a	holds	f4	equal	equal	28
2rq1rk1/pb2nppp/1p1bpn2/2ppN3/3P1P2/PP1BP3/1BPN2PP/R2Q1RK1 w - - 0 1	cz-tab:22 syn-qf3:22	demanding	Ng4 -8	Qf3 -21	13	5	Ng4 -9	Qf3 -12	3	5	n/a	holds	Qf3	equal	equal	28
r1bq1rk1/pppn1pbp/3p1np1/4p3/3P4/1P2PN2/PBP1BPPP/RN1Q1RK1 w - - 0 1	colle-kid:14	tactical	dxe5 34	c4 13	21	3	dxe5 45	c4 15	30	2	n/a	n/a	Nc3	concession	inferior	28
r1bqr1k1/pppn1pbp/3p1np1/4p3/3P4/1PN1PN2/PBP1BPPP/R2Q1RK1 w - - 0 1	colle-kid:16	tactical	dxe5 -1	a4 -24	23	3	dxe5 0	Bc4 -21	21	2	n/a	n/a	dxe5	best	best	28
rn1qkb1r/pppnpppp/6b1/3pN3/3P2P1/4P2P/PPP2P2/RNBQKB1R w KQkq - 0 1	anti-bg4:12	narrow,tactical	Nxg6 47	Bb5 -24	71	1	Nxg6 42	Bb5 -15	57	1	holds	n/a	Nxg6	best	best	28
rnbqk1nr/ppppppbp/6p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 1	hip-g16:5 eco-mong:5	demanding	c5 -49	d6 -52	3	5	d6 -48	c6 -53	5	5	n/a	fails	d6 b6	equal equal	best concession	28
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/5N2/PPP1BPPP/RNBQK2R b KQkq - 0 1	hip-g16:7	demanding	Nf6 -36	c5 -42	6	5	Nf6 -33	a6 -40	7	5	n/a	holds	e6	concession	concession	28
r2qk2r/1bpnnpbp/pp1pp1p1/8/P2PP3/2PB1N2/1P1N1PPP/R1BQR1K1 b kq - 0 1	hip-g16:19	demanding	O-O -49	a5 -60	11	5	O-O -55	h6 -56	1	5	n/a	holds	O-O	best	best	28
r2q1rk1/1bpnnpbp/pp1pp1p1/8/P1NPP3/2PB1N2/1P3PPP/R1BQR1K1 b - - 0 1	hip-g16:21	demanding	d5 -34	Nf6 -47	13	5	Nf6 -38	d5 -44	6	5	n/a	holds	Qe8	concession	equal	28
r3qrk1/1bpnnpbp/pp1pp1p1/8/P1NPP3/2PB1N2/1P1B1PPP/R2QR1K1 b - - 0 1	hip-g16:23	demanding	Qd8 -50	Rd8 -60	10	5	h6 -52	Kh8 -53	1	5	n/a	fails	f6	equal	equal	28
r3qrk1/1bpnn1bp/pp1pppp1/8/P1NPP3/2PB1N2/1P1BQPPP/R3R1K1 b - - 0 1	hip-g16:25	demanding	Kh8 -57	Qf7 -58	1	5	Qf7 -73	Nc6 -74	1	5	n/a	holds	Kh8	best	equal	28
rn1qk1nr/pbp2pbp/1p1pp1p1/8/3PP1P1/2N1BP2/PPPQ3P/R3KBNR b KQkq - 0 1	hip-150:13 syn-hiph5:13	demanding	h5 -68	Nc6 -75	7	5	Nd7 -61	h5 -62	1	5	n/a	fails	Ne7 h5	equal best	concession equal	28
r1bq1rk1/pp3ppp/2nbpn2/3pN3/3p4/1P1BP3/PBP2PPP/RN1Q1RK1 w - - 0 1	rudel:16	demanding,tactical	exd4 -3	Nxc6 -27	24	2	exd4 -13	Nxc6 -29	16	2	n/a	holds	exd4	best	best	28
r1b2rk1/ppq2ppp/2nbpn2/3pN3/3P4/1P1B4/PBP2PPP/RN1Q1RK1 w - - 0 1	rudel:18	demanding,tactical	Nxc6 -2	Re1 -19	17	3	Nxc6 -16	Re1 -17	1	4	n/a	holds	f4	concession	concession	28
r1b2rk1/ppq2ppp/3bpn2/3pN3/1n1P1P2/1P1B4/PBP3PP/RN1Q1RK1 w - - 0 1	rudel:20	demanding	c4 -48	a4 -50	2	5	Ba3 -43	a4 -46	3	5	n/a	holds	Rf3	equal	equal	28
r1b2rk1/ppq2ppp/3bpn2/3pN3/3P1P2/1P1n1R2/PBP3PP/RN1Q2K1 w - - 0 1	rudel:22	narrow,demanding,tactical	Qxd3 -67	Nxd3 -100	33	1	Qxd3 -58	cxd3 -115	57	1	holds	holds	Qxd3	best	best	28
rn1qkb1r/ppp1pppp/5n2/3p4/3P4/3bPN2/PPP2PPP/RNBQK2R w KQkq - 0 1	soltis:8	tactical	Qxd3 17	cxd3 6	11	2	Qxd3 16	cxd3 6	10	2	n/a	n/a	cxd3	equal	equal	28
rn1q1rk1/pb2bppp/1p2pn2/2pp4/3P4/1P1BPN2/PBPN1PPP/R2Q1RK1 w - - 0 1	syn-qid:16	tactical	dxc5 14	Rc1 9	5	5	dxc5 9	Rc1 6	3	5	n/a	n/a	Ne5	equal	equal	28
r2q1rk1/pb1nbppp/1p2p3/2ppN3/3PnP2/1P1BP3/PBPN2PP/R2Q1RK1 w - - 0 1	syn-qid:20	tactical	Nxe4 17	Qe2 12	5	5	Nxe4 21	Qe2 15	6	4	n/a	n/a	Qe2	equal	equal	28
r2q1rk1/pb1nb1pp/1p2p3/2ppNp2/3PnP2/1P1BP3/PBPNQ1PP/R4RK1 w - - 0 1	syn-qid:22	tactical	Nxd7 14	Ndf3 14	0	5	Ndf3 24	Nxd7 18	6	5	n/a	n/a	Rf3	concession	inferior	28
rnbqk1nr/ppp1ppbp/3p2p1/4P3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 1	h-3e5:7	narrow,tactical	dxe5 26	a6 -5	31	1	dxe5 23	a6 6	17	2	fails	n/a	dxe5	best	best	28
rnbqk1nr/1pp1ppb1/p2p2p1/7p/3PP1P1/2N1BP2/PPP4P/R2QKBNR b KQkq - 0 1	h-g4storm:11	narrow,tactical	hxg4 40	e6 -5	45	1	hxg4 37	e6 0	37	1	holds	n/a	hxg4	best	best	28
r2qk2r/1bpnnpb1/pp1pp1pp/3P4/P3P3/2N1BN2/1PPQBPPP/3R1RK1 b kq - 0 1	syn-hipc5:21	narrow,tactical	exd5 -25	e5 -63	38	1	exd5 -39	e5 -60	21	2	fails	n/a	exd5	best	best	28
rn1qk1nr/pbp2pb1/1p1pp1p1/7P/3PP3/2N1BP2/PPPQ3P/R3KBNR b KQkq - 0 1	syn-hiph5:15	narrow,tactical	Qh4+ -14	Rxh5 -52	38	1	Qh4+ -25	Rxh5 -40	15	2	fails	n/a	Rxh5	concession	equal	28
rn1qk2r/pp3ppp/2pbpn2/7b/3Pp3/3B1N1P/PPPNQPP1/R1B1K2R w KQkq - 0 1	syn-slav:16	tactical	Nxe4 32	Bxe4 7	25	2	Nxe4 31	Bxe4 -4	35	1	n/a	n/a	Nxe4	best	best	28
rn1qk2r/pp3ppp/2pbp3/7b/3Pn3/3B1N1P/PPP1QPP1/R1B1K2R w KQkq - 0 1	syn-slav:18	tactical	Bxe4 32	Qxe4 14	18	2	Bxe4 29	Qxe4 8	21	2	n/a	n/a	Qxe4	equal	equal	28
r1bq1rk1/pp3ppp/2nbp3/2pp4/3Pn3/1P1BPN2/PBPN1PPP/R2Q1RK1 w - - 0 1	syn-ne4:16	narrow,tactical	Nxe4 198	Bxe4 130	68	1	Nxe4 186	Bxe4 122	64	1	holds	n/a	Nxe4	best	best	28
r1bq1rk1/pp3ppp/2nbp3/2p5/3Pp3/1P1BPN2/PBP2PPP/R2Q1RK1 w - - 0 1	syn-ne4:18	narrow,tactical	Bxe4 189	dxc5 74	115	1	Bxe4 189	dxc5 80	109	1	holds	n/a	Bxe4	best	best	28
r1bqk2r/pppnnpbp/3pp1p1/8/3P1B2/2P1PN2/PP2BPPP/RN1Q1RK1 b kq - 0 1	syn-london:13	narrow	e5 31	O-O -16	47	1	e5 30	h6 -27	57	1	holds	n/a	b6	concession	concession	28
r1bq1rk1/pp3pbp/n2pPnp1/2p5/4PP2/2NB1N2/PPP3PP/R1BQ1RK1 b - - 0 1	syn-e5punish:17	narrow,tactical	Bxe6 -84	fxe6 -132	48	1	Bxe6 -71	fxe6 -137	66	1	holds	n/a	Bxe6	best	best	28
